"","x"
"R01.MOD13Q1.A2000225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2001225.061.250m.16.days.SAVI.Smoothing",0.18
"R01.MOD13Q1.A2002225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2003225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2004225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2005225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2006225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2007225.061.250m.16.days.SAVI.Smoothing",0.16
"R01.MOD13Q1.A2008225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2009225.061.250m.16.days.SAVI.Smoothing",0.16
"R01.MOD13Q1.A2010225.061.250m.16.days.SAVI.Smoothing",0.16
"R01.MOD13Q1.A2011225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2012225.061.250m.16.days.SAVI.Smoothing",0.19
"R01.MOD13Q1.A2013225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2014225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2015225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2016225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2017225.061.250m.16.days.SAVI.Smoothing",0.18
"R01.MOD13Q1.A2018225.061.250m.16.days.SAVI.Smoothing",0.16
"R01.MOD13Q1.A2019225.061.250m.16.days.SAVI.Smoothing",0.19
"R01.MOD13Q1.A2020225.061.250m.16.days.SAVI.Smoothing",0.19
"R01.MOD13Q1.A2021225.061.250m.16.days.SAVI.Smoothing",0.18
"R01.MOD13Q1.A2022225.061.250m.16.days.SAVI.Smoothing",0.17
"R01.MOD13Q1.A2023225.061.250m.16.days.SAVI.Smoothing",0.17
