"","x"
"R02.MOD13Q1.A2000049.061.250m.16.days.SAVI.filled.Smoothing",6.4659048559384
"R02.MOD13Q1.A2001049.061.250m.16.days.SAVI.filled.Smoothing",39.8634630243513
"R02.MOD13Q1.A2002049.061.250m.16.days.SAVI.filled.Smoothing",46.2110876109296
"R02.MOD13Q1.A2003049.061.250m.16.days.SAVI.filled.Smoothing",50.4738565813484
"R02.MOD13Q1.A2004049.061.250m.16.days.SAVI.filled.Smoothing",45.1843346962323
"R02.MOD13Q1.A2005049.061.250m.16.days.SAVI.filled.Smoothing",47.9062352165192
"R02.MOD13Q1.A2006049.061.250m.16.days.SAVI.filled.Smoothing",50.2484067343853
"R02.MOD13Q1.A2007049.061.250m.16.days.SAVI.filled.Smoothing",41.3894705298819
"R02.MOD13Q1.A2008049.061.250m.16.days.SAVI.filled.Smoothing",38.2707708718877
"R02.MOD13Q1.A2009049.061.250m.16.days.SAVI.filled.Smoothing",21.6638626668205
"R02.MOD13Q1.A2010049.061.250m.16.days.SAVI.filled.Smoothing",24.4688634607405
"R02.MOD13Q1.A2011049.061.250m.16.days.SAVI.filled.Smoothing",31.4176040394525
"R02.MOD13Q1.A2012049.061.250m.16.days.SAVI.filled.Smoothing",58.4276100459892
"R02.MOD13Q1.A2013049.061.250m.16.days.SAVI.filled.Smoothing",60.3425057656877
"R02.MOD13Q1.A2014049.061.250m.16.days.SAVI.filled.Smoothing",53.1395125168311
"R02.MOD13Q1.A2015049.061.250m.16.days.SAVI.filled.Smoothing",47.3093797091454
"R02.MOD13Q1.A2016049.061.250m.16.days.SAVI.filled.Smoothing",50.8436776070905
"R02.MOD13Q1.A2017049.061.250m.16.days.SAVI.filled.Smoothing",70.7439830649496
"R02.MOD13Q1.A2018049.061.250m.16.days.SAVI.filled.Smoothing",61.6923439776206
"R02.MOD13Q1.A2019049.061.250m.16.days.SAVI.filled.Smoothing",64.3770074633155
"R02.MOD13Q1.A2020049.061.250m.16.days.SAVI.filled.Smoothing",76.4216913174115
"R02.MOD13Q1.A2021049.061.250m.16.days.SAVI.filled.Smoothing",70.3925841701657
"R02.MOD13Q1.A2022049.061.250m.16.days.SAVI.filled.Smoothing",60.0201170121683
"R02.MOD13Q1.A2023049.061.250m.16.days.SAVI.filled.Smoothing",68.9201359457521
"R02.MOD13Q1.A2024049.061.250m.16.days.SAVI.filled_Smoothing",59.8091908247818
