"","x"
"R11.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",42.2949220230573
"R11.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",52.8194680584941
"R11.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",54.1319634079738
"R11.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",55.1825779711536
"R11.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",58.2456750070471
"R11.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",54.4892474276091
"R11.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",54.2855040922049
"R11.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",54.6499983447545
"R11.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",48.5174920565651
"R11.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",56.3283943850897
"R11.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",50.5613014248237
"R11.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",59.0167427756882
"R11.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",59.2110732461418
"R11.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",59.7423487639445
"R11.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",70.2522647513088
"R11.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",63.761306267803
"R11.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",65.3915212812924
"R11.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",56.2133281630844
"R11.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",59.5672432873202
"R11.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",58.0957843329742
"R11.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",52.6797486913055
"R11.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",61.7695601937094
"R11.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",43.7391650794019
"R11.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",56.6835383744169
