"","x"
"R04.MOD13Q1.A2000049.061.250m.16.days.NDVI.filled.Smoothing",35.4049349951412
"R04.MOD13Q1.A2001049.061.250m.16.days.NDVI.filled.Smoothing",69.3604974696389
"R04.MOD13Q1.A2002049.061.250m.16.days.NDVI.filled.Smoothing",72.3926861255672
"R04.MOD13Q1.A2003049.061.250m.16.days.NDVI.filled.Smoothing",96.5269918772536
"R04.MOD13Q1.A2004049.061.250m.16.days.NDVI.filled.Smoothing",56.6710816588664
"R04.MOD13Q1.A2005049.061.250m.16.days.NDVI.filled.Smoothing",60.4603491074987
"R04.MOD13Q1.A2006049.061.250m.16.days.NDVI.filled.Smoothing",40.6057735111651
"R04.MOD13Q1.A2007049.061.250m.16.days.NDVI.filled.Smoothing",38.4165554353649
"R04.MOD13Q1.A2008049.061.250m.16.days.NDVI.filled.Smoothing",21.736785670904
"R04.MOD13Q1.A2009049.061.250m.16.days.NDVI.filled.Smoothing",54.5744612226484
"R04.MOD13Q1.A2010049.061.250m.16.days.NDVI.filled.Smoothing",43.3854515284413
"R04.MOD13Q1.A2011049.061.250m.16.days.NDVI.filled.Smoothing",41.3580707916356
"R04.MOD13Q1.A2012049.061.250m.16.days.NDVI.filled.Smoothing",57.3407014934699
"R04.MOD13Q1.A2013049.061.250m.16.days.NDVI.filled.Smoothing",26.2062666390621
"R04.MOD13Q1.A2014049.061.250m.16.days.NDVI.filled.Smoothing",26.947181014943
"R04.MOD13Q1.A2015049.061.250m.16.days.NDVI.filled.Smoothing",15.8169112680785
"R04.MOD13Q1.A2016049.061.250m.16.days.NDVI.filled.Smoothing",68.7134458216401
"R04.MOD13Q1.A2017049.061.250m.16.days.NDVI.filled.Smoothing",41.8322402164062
"R04.MOD13Q1.A2018049.061.250m.16.days.NDVI.filled.Smoothing",81.3564978459534
"R04.MOD13Q1.A2019049.061.250m.16.days.NDVI.filled.Smoothing",41.8369000471341
"R04.MOD13Q1.A2020049.061.250m.16.days.NDVI.filled.Smoothing",14.8919828445077
"R04.MOD13Q1.A2021049.061.250m.16.days.NDVI.filled.Smoothing",32.8060384285723
"R04.MOD13Q1.A2022049.061.250m.16.days.NDVI.filled.Smoothing",2.84575386063601
"R04.MOD13Q1.A2023049.061.250m.16.days.NDVI.filled.Smoothing",54.5712610421124
"R04.MOD13Q1.A2024049.061.250m.16.days.NDVI.filled.Smoothing",16.734675973213
