"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"35","Petorca",57,67,92,75,73,77,80,54,76,63,59,49,29,32,33,19,85,96,46,2,51,3,31,8
"33","Cabildo",60,63,93,77,78,84,79,56,91,66,65,55,68,68,61,29,88,95,49,0,54,4,33,24
"32","Putaendo",49,57,78,73,70,86,75,49,82,60,58,45,57,57,36,30,89,100,45,0,35,8,25,37
"34","La Ligua",68,69,91,78,81,86,86,59,92,71,70,66,77,77,74,30,90,98,61,2,57,2,40,37
"28","Santa María",35,50,71,65,60,81,72,49,79,55,50,39,47,56,25,22,77,83,35,0,24,12,15,41
"24","San Felipe",44,58,76,63,65,79,75,47,85,55,53,39,51,49,36,27,77,78,36,5,31,5,23,44
"30","San Esteban",47,49,63,65,59,90,73,49,75,55,50,33,53,62,30,16,92,77,36,0,19,14,9,45
"26","Catemu",47,62,79,69,74,86,79,53,86,60,59,51,68,64,49,29,87,86,52,15,43,0,37,48
"27","Nogales",62,74,87,77,83,89,81,62,88,69,69,67,77,81,77,39,93,93,71,20,48,0,50,49
"29","Zapallar",65,68,86,79,89,89,89,61,98,68,75,70,85,81,85,45,93,97,65,10,66,0,56,49
"31","Papudo",65,61,82,76,86,86,89,59,96,68,71,69,83,79,80,25,92,96,61,3,56,0,47,51
"22","Panquehue",42,51,68,54,58,68,66,45,84,52,51,39,59,54,48,36,87,81,46,17,50,8,39,53
"21","Hijuelas",58,64,80,74,80,88,83,59,79,68,67,60,74,79,74,44,89,89,66,18,42,1,51,56
"14","Quillota",62,66,84,77,87,86,85,64,89,73,72,67,79,77,82,41,89,92,65,34,56,0,70,57
"17","La Cruz",52,69,78,72,80,81,84,61,83,71,68,67,75,75,76,44,84,94,65,27,52,0,57,57
"25","Puchuncaví",50,45,76,72,83,84,83,57,91,70,70,68,82,77,83,36,92,100,67,40,60,0,66,58
"20","Calera",58,67,82,73,83,85,85,60,83,70,68,67,76,78,78,40,86,95,66,23,53,0,55,59
"23","Los Andes",50,48,66,66,60,87,75,52,85,58,51,38,61,63,34,21,95,80,31,0,28,22,19,61
"10","Olmué",63,72,86,78,83,91,86,66,85,76,70,61,76,78,73,47,93,93,67,24,30,0,57,62
"9","Quilpué",61,77,82,81,79,94,87,60,83,74,69,58,76,80,69,39,95,93,67,34,32,0,59,63
"18","Rinconada",40,52,67,62,59,87,79,47,85,53,50,38,58,62,38,25,94,77,32,0,38,6,28,65
"15","Calle Larga",44,54,72,65,67,92,79,52,89,58,54,40,67,67,41,23,90,83,30,0,42,18,22,67
"12","Limache",60,74,84,83,89,90,85,64,87,73,74,68,82,81,80,42,91,95,66,35,54,0,72,68
"5","El Quisco",38,82,68,73,76,91,80,43,64,51,58,52,62,62,53,36,70,74,51,23,28,13,35,70
"13","Concón",54,65,81,83,92,92,93,67,91,74,73,66,80,78,79,38,92,98,69,34,53,0,67,70
"8","Villa Alemana",57,74,85,85,95,94,89,69,91,76,79,70,83,85,81,47,93,98,66,40,58,0,73,71
"6","Algarrobo",31,85,69,73,79,96,76,43,76,56,57,56,71,68,66,39,87,91,54,28,41,0,49,72
"16","Llaillay",47,57,78,67,74,88,80,57,91,60,58,50,68,71,65,38,84,87,47,14,48,0,50,72
"11","Viña del Mar",40,70,70,70,83,85,88,58,85,66,68,62,75,72,72,33,88,98,61,37,38,0,54,73
"19","Quintero",47,45,72,75,86,85,83,54,86,64,68,68,81,76,85,35,94,94,62,40,66,0,79,73
"7","Casablanca",48,85,73,79,87,91,81,54,81,64,67,61,75,76,75,39,88,91,60,40,47,0,60,74
"36","Valparaíso",48,76,73,82,86,88,88,60,78,61,59,54,71,71,74,47,90,90,65,40,26,11,48,76
"4","El Tabo",41,87,67,76,81,88,83,58,81,62,63,56,73,72,71,37,82,85,54,22,46,0,52,79
"3","Cartagena",48,86,71,76,83,87,82,56,85,63,61,57,74,75,74,30,86,96,56,26,56,0,65,80
"2","San Antonio",35,86,66,74,83,82,75,47,82,54,59,49,74,73,81,25,82,92,48,25,49,0,65,81
"1","Santo Domingo",12,82,57,66,81,75,71,43,76,49,55,49,68,65,84,26,79,84,41,40,42,30,67,85
